short_name,month,quantity_tons,product
OM METAL,October,210,Copper
OM METAL,November,540,Copper
OM METAL,December,375,Copper
RUASHI MINING,April,291.2,Cobalt
RUASHI MINING,May,264.4,Cobalt
RUASHI MINING,June,99.8,Cobalt
RUASHI MINING,August,119.5,Cobalt
RUASHI MINING,September,194.5,Cobalt
RUASHI MINING,October,546.6,Cobalt
RUASHI MINING,November,584,Cobalt
RUASHI MINING,December,104.8,Cobalt
RUASHI MINING,January,2597.6,Copper
RUASHI MINING,February,1765.7,Copper
RUASHI MINING,March,1122.2,Copper
RUASHI MINING,April,2468.4,Copper
RUASHI MINING,May,738.5,Copper
RUASHI MINING,June,1695.3,Copper
RUASHI MINING,July,4916.8,Copper
RUASHI MINING,August,2815.5,Copper
RUASHI MINING,September,287,Copper
RUASHI MINING,October,4624.1,Copper
RUASHI MINING,November,2352,Copper
RUASHI MINING,December,2146.8,Copper
RUBAMIN,January,1245.3,Copper
RUBAMIN,February,4357.7,Copper
RUBAMIN,March,2203.4,Copper
RUBAMIN,April,1522.1,Copper
RUBAMIN,May,19389.1,Copper
RUBAMIN,June,18974.7,Copper
RUBAMIN,July,14112.7,Copper
RUBAMIN,August,1229.4,Copper
RUBAMIN,September,2302.2,Copper
RUBAMIN,October,1292.1,Copper
RUBAMIN,November,31967.3,Copper
RUBAMIN,December,9605.5,Copper
S M DEZIWA,June,52.7,Cobalt
S M DEZIWA,July,922.3,Cobalt
S M DEZIWA,August,1304.1,Cobalt
S M DEZIWA,September,1504.9,Cobalt
S M DEZIWA,October,1007.7,Cobalt
S M DEZIWA,November,798.6,Cobalt
S M DEZIWA,December,1196.4,Cobalt
S M DEZIWA,January,6046.4,Copper
S M DEZIWA,February,11704.4,Copper
S M DEZIWA,March,8173.1,Copper
S M DEZIWA,April,8207.6,Copper
S M DEZIWA,May,6843.3,Copper
S M DEZIWA,June,6811.8,Copper
S M DEZIWA,July,7548.6,Copper
S M DEZIWA,August,4239.9,Copper
S M DEZIWA,September,6406.3,Copper
S M DEZIWA,October,4342.2,Copper
S M DEZIWA,November,7914.7,Copper
S M DEZIWA,December,5269.7,Copper
SABWE MINING SARL,December,1500,Copper
SCM,January,195,Cobalt
SCM,February,56.7,Cobalt
SCM,March,2400.3,Cobalt
SCM,April,1388.8,Cobalt
SCM,June,232,Cobalt
SCM,July,464,Cobalt
SCM,August,564.9,Cobalt
SCM,September,11.9,Cobalt
SCM,November,309.7,Cobalt
SCM,December,327.2,Cobalt
SCM,January,18905.9,Copper
SCM,February,15900.6,Copper
SCM,March,22034.1,Copper
SCM,April,33468.5,Copper
SCM,May,14076.5,Copper
SCM,June,15263,Copper
SCM,July,20267.1,Copper
SCM,August,9377.6,Copper
SCM,September,17733.8,Copper
SCM,November,28012.4,Copper
SCM,December,11572.2,Copper
SEK,January,2924.9,Copper
SEK,February,2613.8,Copper
SEK,March,2067.9,Copper
SEK,April,2863.6,Copper
SEK,May,3059.9,Copper
SEK,June,2338.6,Copper
SEK,July,2989.6,Copper
SEK,August,2695.5,Copper
SEK,September,3086.8,Copper
SEK,October,2664.6,Copper
SEK,November,2761.2,Copper
SEK,December,2988.5,Copper
SEMHKAT,January,207,Copper
SEMHKAT,February,207,Copper
SEMHKAT,March,103.5,Copper
SHITURU MINING,January,3403.5,Copper
SHITURU MINING,February,2658,Copper
SHITURU MINING,March,2223.5,Copper
SHITURU MINING,April,3915.9,Copper
SHITURU MINING,May,3490.6,Copper
SHITURU MINING,June,2729.8,Copper
SHITURU MINING,July,916.8,Copper
SHITURU MINING,August,2438.4,Copper
SHITURU MINING,September,2747,Copper
SHITURU MINING,October,2449,Copper
SHITURU MINING,November,2614.6,Copper
SHITURU MINING,December,3441.5,Copper
SOCIETE MINIERE DE KASONTA,January,287.6,Copper
SOCIETE MINIERE DE KASONTA,February,219.8,Copper
